,nominal time,day/night,npixels with POH > 90%
0,2019-04-10 15:05:00,day,1.0
1,2019-04-19 13:55:00,day,4.0
2,2019-04-19 14:20:00,day,1.0
3,2019-04-19 14:25:00,day,1.0
4,2019-04-19 14:30:00,day,1.0
5,2019-04-24 12:40:00,day,5.0
6,2019-04-24 12:45:00,day,20.0
7,2019-04-24 12:50:00,day,27.0
8,2019-04-24 12:55:00,day,37.0
9,2019-04-24 13:00:00,day,33.0
10,2019-04-24 13:05:00,day,9.0
11,2019-04-24 13:10:00,day,2.0
12,2019-04-24 13:15:00,day,36.0
13,2019-04-24 13:20:00,day,65.0
14,2019-04-24 13:25:00,day,47.0
15,2019-04-24 13:30:00,day,37.0
16,2019-04-24 13:35:00,day,23.0
17,2019-04-24 14:10:00,day,7.0
18,2019-04-24 15:40:00,day,2.0
19,2019-04-24 15:45:00,day,39.0
20,2019-04-24 15:50:00,day,54.0
21,2019-04-24 15:55:00,day,20.0
22,2019-04-24 16:00:00,day,9.0
23,2019-04-24 16:05:00,day,4.0
24,2019-04-26 09:25:00,day,5.0
25,2019-04-26 09:45:00,day,3.0
26,2019-04-26 09:50:00,day,3.0
27,2019-04-26 09:55:00,day,12.0
28,2019-04-26 10:00:00,day,11.0
29,2019-04-26 10:05:00,day,16.0
30,2019-04-26 10:10:00,day,8.0
31,2019-04-26 10:15:00,day,5.0
32,2019-04-26 10:20:00,day,15.0
33,2019-04-26 10:25:00,day,13.0
34,2019-04-26 10:30:00,day,20.0
35,2019-04-26 10:35:00,day,29.0
36,2019-04-26 10:40:00,day,62.0
37,2019-04-26 10:45:00,day,55.0
38,2019-04-26 10:50:00,day,19.0
39,2019-04-26 10:55:00,day,3.0
40,2019-04-26 11:05:00,day,6.0
41,2019-04-26 11:10:00,day,5.0
42,2019-04-26 11:15:00,day,11.0
43,2019-04-26 11:25:00,day,1.0
44,2019-04-26 11:30:00,day,10.0
45,2019-04-26 11:35:00,day,15.0
46,2019-04-26 11:40:00,day,87.0
47,2019-04-26 11:45:00,day,54.0
48,2019-04-26 11:50:00,day,16.0
49,2019-04-26 11:55:00,day,44.0
50,2019-04-26 12:00:00,day,9.0
51,2019-04-26 12:05:00,day,13.0
52,2019-04-26 12:10:00,day,5.0
53,2019-04-26 12:15:00,day,11.0
54,2019-04-26 12:20:00,day,15.0
55,2019-04-26 12:25:00,day,7.0
56,2019-04-26 12:30:00,day,53.0
57,2019-04-26 12:35:00,day,69.0
58,2019-04-26 12:40:00,day,57.0
59,2019-04-26 12:45:00,day,30.0
60,2019-04-26 12:50:00,day,11.0
61,2019-04-26 13:00:00,day,7.0
62,2019-04-26 13:30:00,day,4.0
63,2019-04-26 14:40:00,day,17.0
64,2019-04-26 14:45:00,day,7.0
65,2019-04-26 15:50:00,day,1.0
66,2019-04-28 11:10:00,day,5.0
67,2019-04-28 11:15:00,day,15.0
68,2019-04-28 11:20:00,day,6.0
69,2019-04-28 11:25:00,day,2.0
70,2019-05-11 14:20:00,day,3.0
71,2019-05-11 14:30:00,day,16.0
72,2019-05-11 14:35:00,day,13.0
73,2019-05-11 14:40:00,day,21.0
74,2019-05-11 14:45:00,day,33.0
75,2019-05-11 14:50:00,day,24.0
76,2019-05-11 14:55:00,day,32.0
77,2019-05-11 15:00:00,day,86.0
78,2019-05-11 15:05:00,day,93.0
79,2019-05-11 15:10:00,day,96.0
80,2019-05-11 15:15:00,day,44.0
81,2019-05-11 15:20:00,day,17.0
82,2019-05-11 15:25:00,day,53.0
83,2019-05-11 15:30:00,day,32.0
84,2019-05-11 15:35:00,day,25.0
85,2019-05-11 15:40:00,day,28.0
86,2019-05-11 15:45:00,day,4.0
87,2019-05-11 15:50:00,day,1.0
88,2019-05-11 16:00:00,day,16.0
89,2019-05-11 16:05:00,day,2.0
90,2019-05-11 16:20:00,day,1.0
